Panels Name,LG335N1K-V5 BOB Neon2Black,LG350N1C-V5 WOB Neon2,LG360Q1K-V5 BOB NeonRPrime,LG375Q1C-V5 WOB NeonR,JKM320M-60 BOB Eagle,Q.PEAK DUO BLK-G5 315 BOB,Q.PEAK DUO BLK-G5 320 BOB,Q.PEAK DUO BLK-G6 335 BOB,Q.PEAK DUO BLK-G5 340 BOB,Q.PEAK DUO G5 325 WOB,Q.PEAK DUO G5 330 WOB,PANA VBHN330 SA17 WOB,,,,,,,,,,,,,
Length (in),66.38,66.38,66.93,66.93,64.96,66.34,66.34,68.5,68.5,66.34,66.34,62.6,0,0,0,0,0,0,0,0,0,0,0,0,
Width (in),40,40,40,40,39.06,39.37,39.37,40.55,39.37,39.37,39.37,41.46,0,0,0,0,0,0,0,0,0,0,0,0,
Height (in),1.57,1.57,1.57,1.57,1.38,1.26,1.26,1.26,1.26,1.26,1.26,1.57,0,0,0,0,0,0,0,0,0,0,0,0,
Weight (lb),37.7,37.7,38.58,38.58,41.89,41.23,41.23,43.87,43.87,41.23,41.23,40.79,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
Length (mm),1686,1686,1700,1700,1650,1685,1685,1740,1740,1685,1685,1590,,,,,,,,,,,,,
Width (mm),1016,1016,1016,1016,992,1000,1000,1030,1000,1000,1000,1053,,,,,,,,,,,,,
Height (mm),40,40,40,40,35,32,32,32,32,32,32,40,,,,,,,,,,,,,
Weight (kg),17.1,17.1,17.5,17.5,19,18.7,18.7,19.9,19.9,18.7,18.7,18.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Power (W),335,350,360,375,320,315,320,335,340,325,330,330,,,,,,,,,,,,,
Optimizer ,P370,P370,P370,P400,P320,P320,P320,P340,P340,P340,P340,P400,,,,,,,,,,,,,
MicroInverter,IQ7+,IQ7+,IQ7+,IQ7+,IQ7,IQ7,IQ7,IQ7+,IQ7+,IQ7,IQ7,IQ7X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Pwr Density      Watt/sqfoot,17.246,18.018,18.533,19.305,16.474,16.216,16.474,17.246,17.503,16.731,16.988,16.988,0,0,0,0,0,0,0,0,0,0,0,0,